date,group,subj,sex,age-yrs,agesex,type,cause,location
2009-10-02,GSC,Geor,F,8.2,juvf,wound,,limb
2009-10-02,GSC,Lobs,F,7.6,juvf,limp,,limb
2009-10-14,TWS,Pans,F,12.2,adf,limp,,limb
2009-10-14,TWS,Tip,M,11.7,adm,limp,,limb
2009-10-24,TWS,Dixi,F,12.8,adf,wound,,limb
2009-11-01,TWS,Bonn,F,9.9,adf,wound,,headneck
2009-11-08,alone,Davy,M,11.7,adm,wound,,limb
2009-11-10,GSC,Geor,F,8.3,juvf,limp,,limb
2009-11-15,GSAA,Crab,F,8.7,juvf,limp,,limb
2009-11-23,TWS,Bow,F,17.6,adf,not_specified,,limb
2009-12-17,TWS,Twin,F,11.7,adf,limp,,limb
2009-12-27,TWS,Kami,F,9.7,adf,wound,within-group aggression,headneck
2010-01-05,TWS,Tip,M,11.9,adm,limp,,handfoot
2010-01-12,TWS,Trim,F,12.9,adf,wound,,limb
2010-01-16,TWS,Kolv,F,7.8,juvf,limp,,handfoot
2010-01-21,GSB,Bb,F,22.9,adf,wound,within-group aggression,tail
2010-02-03,GSC,Lobs,F,8,juvf,limp,,limb
2010-02-05,GN,Dion,F,4.1,juvf,limp,,limb
2010-02-10,TWN,Didg,F,12.1,adf,wound,,handfoot
2010-02-20,GSB,Naam,F,1,juvf,wound,,trunk
2010-02-25,GSAA,Bond,F,4,juvf,wound,,headneck
2010-03-07,alone,KL,M,23.6,adm,wound,,limb
2010-03-21,TWS,Pans,F,12.6,adf,wound,,tail
2010-03-23,GN,Diab,M,6.1,juvm,limp,,limb
2010-03-23,TWS,Sifa,F,4.1,juvf,hairless,,trunk
2010-04-20,TWS,Kami,F,10,adf,wound,,limb
2010-05-05,TWS,Gumm,F,4.2,juvf,wound,,headneck
2010-05-07,TWS,Durh,M,7,juvm,limp,fall from tree,limb
2010-05-07,TWS,Quan,F,17.3,adf,limp,,limb
2010-05-25,TWN,Didg,F,12.4,adf,limp,within-group aggression,limb
2010-05-25,TWN,Diet,M,7.8,juvm,wound,within-group aggression,handfoot
2010-06-08,TWS,Kwan,M,2.3,juvm,wound,,headneck
2010-06-12,TWS,Dubl,M,1.3,juvm,limp,,limb
